********* Type 3 ***********
------- Group1  count: 10000--------
1.1 BST Insert:    5611us
1.2 BST Search:    96us
1.3 BST Delete:    13943us
2.1 AVL Insert:    477481us
2.2 AVLT Search:   76us
2.3 AVLT Delete:   5980us
3.1 BT Insert:    10701us
3.2 BT Search:    335us
3.3 BT Delete:    8317us
4.1 RBTree Insert:    320527us
4.2 RBTree Search:    54us
4.3 RBTree Delete:    2812us
------- Group2  count: 30000--------
1.1 BST Insert:    16013us
1.2 BST Search:    77us
1.3 BST Delete:    14176us
2.1 AVL Insert:    227808us
2.2 AVLT Search:   68us
2.3 AVLT Delete:   13674us
3.1 BT Insert:    21950us
3.2 BT Search:    255us
3.3 BT Delete:    26805us
4.1 RBTree Insert:    213157us
4.2 RBTree Search:    48us
4.3 RBTree Delete:    7639us
------- Group3  count: 50000--------
1.1 BST Insert:    28124us
1.2 BST Search:    181us
1.3 BST Delete:    26259us
2.1 AVL Insert:    224334us
2.2 AVLT Search:   74us
2.3 AVLT Delete:   22990us
3.1 BT Insert:    34627us
3.2 BT Search:    371us
3.3 BT Delete:    44012us
4.1 RBTree Insert:    285421us
4.2 RBTree Search:    74us
4.3 RBTree Delete:    11761us
------- Group4  count: 70000--------
1.1 BST Insert:    38867us
1.2 BST Search:    98us
1.3 BST Delete:    41162us
2.1 AVL Insert:    228978us
2.2 AVLT Search:   86us
2.3 AVLT Delete:   30643us
3.1 BT Insert:    50358us
3.2 BT Search:    383us
3.3 BT Delete:    64692us
4.1 RBTree Insert:    36098us
4.2 RBTree Search:    61us
4.3 RBTree Delete:    15581us
------- Group5  count: 90000--------
1.1 BST Insert:    59075us
1.2 BST Search:    99us
1.3 BST Delete:    62374us
2.1 AVL Insert:    161725us
2.2 AVLT Search:   60us
2.3 AVLT Delete:   35231us
3.1 BT Insert:    48283us
3.2 BT Search:    474us
3.3 BT Delete:    81007us
4.1 RBTree Insert:    45832us
4.2 RBTree Search:    60us
4.3 RBTree Delete:    17850us
------- Group6  count: 110000--------
1.1 BST Insert:    74666us
1.2 BST Search:    95us
1.3 BST Delete:    81177us
2.1 AVL Insert:    56901us
2.2 AVLT Search:   71us
2.3 AVLT Delete:   38205us
3.1 BT Insert:    82380us
3.2 BT Search:    329us
3.3 BT Delete:    107059us
4.1 RBTree Insert:    60524us
4.2 RBTree Search:    54us
4.3 RBTree Delete:    20303us
------- Group7  count: 130000--------
1.1 BST Insert:    89109us
1.2 BST Search:    105us
1.3 BST Delete:    117304us
2.1 AVL Insert:    62573us
2.2 AVLT Search:   98us
2.3 AVLT Delete:   44665us
3.1 BT Insert:    68001us
3.2 BT Search:    355us
3.3 BT Delete:    129000us
4.1 RBTree Insert:    75853us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    23429us
------- Group8  count: 150000--------
1.1 BST Insert:    117769us
1.2 BST Search:    179us
1.3 BST Delete:    142989us
2.1 AVL Insert:    70936us
2.2 AVLT Search:   91us
2.3 AVLT Delete:   47887us
3.1 BT Insert:    73936us
3.2 BT Search:    336us
3.3 BT Delete:    150001us
4.1 RBTree Insert:    85922us
4.2 RBTree Search:    67us
4.3 RBTree Delete:    27960us
------- Group9  count: 170000--------
1.1 BST Insert:    133448us
1.2 BST Search:    104us
1.3 BST Delete:    167925us
2.1 AVL Insert:    70667us
2.2 AVLT Search:   87us
2.3 AVLT Delete:   48474us
3.1 BT Insert:    76667us
3.2 BT Search:    449us
3.3 BT Delete:    158511us
4.1 RBTree Insert:    98386us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    26863us
------- Group10  count: 190000--------
1.1 BST Insert:    161553us
1.2 BST Search:    113us
1.3 BST Delete:    199301us
2.1 AVL Insert:    86333us
2.2 AVLT Search:   81us
2.3 AVLT Delete:   54250us
3.1 BT Insert:    109768us
3.2 BT Search:    448us
3.3 BT Delete:    186295us
4.1 RBTree Insert:    110981us
4.2 RBTree Search:    70us
4.3 RBTree Delete:    26662us
------- Group11  count: 210000--------
1.1 BST Insert:    172802us
1.2 BST Search:    107us
1.3 BST Delete:    219627us
2.1 AVL Insert:    91735us
2.2 AVLT Search:   78us
2.3 AVLT Delete:   64573us
3.1 BT Insert:    168928us
3.2 BT Search:    400us
3.3 BT Delete:    211359us
4.1 RBTree Insert:    287717us
4.2 RBTree Search:    56us
4.3 RBTree Delete:    27420us
------- Group12  count: 230000--------
1.1 BST Insert:    197461us
1.2 BST Search:    117us
1.3 BST Delete:    260131us
2.1 AVL Insert:    100499us
2.2 AVLT Search:   87us
2.3 AVLT Delete:   65278us
3.1 BT Insert:    167271us
3.2 BT Search:    539us
3.3 BT Delete:    229709us
4.1 RBTree Insert:    146701us
4.2 RBTree Search:    71us
4.3 RBTree Delete:    30448us
------- Group13  count: 250000--------
1.1 BST Insert:    225472us
1.2 BST Search:    114us
1.3 BST Delete:    290099us
2.1 AVL Insert:    108453us
2.2 AVLT Search:   90us
2.3 AVLT Delete:   66667us
3.1 BT Insert:    195559us
3.2 BT Search:    347us
3.3 BT Delete:    261399us
4.1 RBTree Insert:    155251us
4.2 RBTree Search:    72us
4.3 RBTree Delete:    29493us
------- Group14  count: 270000--------
1.1 BST Insert:    258115us
1.2 BST Search:    84us
1.3 BST Delete:    332449us
2.1 AVL Insert:    122329us
2.2 AVLT Search:   95us
2.3 AVLT Delete:   63345us
3.1 BT Insert:    206626us
3.2 BT Search:    348us
3.3 BT Delete:    281028us
4.1 RBTree Insert:    352307us
4.2 RBTree Search:    73us
4.3 RBTree Delete:    29588us
------- Group15  count: 290000--------
1.1 BST Insert:    292514us
1.2 BST Search:    91us
1.3 BST Delete:    385428us
2.1 AVL Insert:    137550us
2.2 AVLT Search:   70us
2.3 AVLT Delete:   75082us
3.1 BT Insert:    244080us
3.2 BT Search:    387us
3.3 BT Delete:    300411us
4.1 RBTree Insert:    2193562us
4.2 RBTree Search:    67us
4.3 RBTree Delete:    32258us
------- Group16  count: 310000--------
1.1 BST Insert:    333077us
1.2 BST Search:    111us
1.3 BST Delete:    440226us
2.1 AVL Insert:    136761us
2.2 AVLT Search:   76us
2.3 AVLT Delete:   69275us
3.1 BT Insert:    240385us
3.2 BT Search:    412us
3.3 BT Delete:    322569us
4.1 RBTree Insert:    3746293us
4.2 RBTree Search:    83us
4.3 RBTree Delete:    30669us
------- Group17  count: 330000--------
1.1 BST Insert:    347059us
1.2 BST Search:    102us
1.3 BST Delete:    558125us
2.1 AVL Insert:    147891us
2.2 AVLT Search:   92us
2.3 AVLT Delete:   70898us
3.1 BT Insert:    260266us
3.2 BT Search:    306us
3.3 BT Delete:    335589us
4.1 RBTree Insert:    3042258us
4.2 RBTree Search:    65us
4.3 RBTree Delete:    31288us
------- Group18  count: 350000--------
1.1 BST Insert:    386233us
1.2 BST Search:    93us
1.3 BST Delete:    658875us
2.1 AVL Insert:    149565us
2.2 AVLT Search:   84us
2.3 AVLT Delete:   63171us
